WeekDay,WD,Total_STime,Social Networking,Entertainment,Reading & Reference,Productivity,Education,Games,Creativity,Other
Sunday,S,401,341,0,0,1,0,0,32,12
Monday,M,407,233,0,0,0,0,90,2,55
Tuesday,T,656,165,284,5,1,0,25,0,105
Wednesday,W,264,130,1,25,1,0,35,2,47
Thursday,Th,0,0,0,0,0,0,0,0,0
Friday,F,0,0,0,0,0,0,0,0,0
Saturday,S,0,0,0,0,0,0,0,0,0
